category,rank,percentile,gender,branch,college_name
2,14248,92.3335702,1,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
3,22745,87.7973797,1,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
4,102922,27.3337429,1,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
5,44740,75.3508645,1,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
6,20321,89.0594645,1,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
7,27605,85.0225065,1,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
9,13964,92.4845102,1,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
14,100795,29.3528763,0,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
11,30393,83.4474115,0,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
10,11631,93.7141189,0,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
15,104414,25.8381109,0,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
12,41669,77.0666918,0,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
13,16352,91.1864731,0,Electronics and Telecommunication Engg,"Government College of Engineering, Amravati"
2,49414,72.5765063,0,Instrumentaiton Engineering ,"Government College of Engineering, Amravati"
3,65659,61.4673542,0,Instrumentaiton Engineering ,"Government College of Engineering, Amravati"
4,112169,16.5730741,0,Instrumentaiton Engineering ,"Government College of Engineering, Amravati"
7,74875,54.1664697,0,Instrumentaiton Engineering ,"Government College of Engineering, Amravati"
9,52428,70.7220669,0,Instrumentaiton Engineering ,"Government College of Engineering, Amravati"
2,46383,74.2012741,1,Instrumentaiton Engineering ,"Government College of Engineering, Amravati"
3,64077,62.3799839,1,Instrumentaiton Engineering ,"Government College of Engineering, Amravati"
9,48202,72.8974176,1,Instrumentaiton Engineering ,"Government College of Engineering, Amravati"
11,113852,14.2210761,0,Instrumentaiton Engineering ,"Government College of Engineering, Amravati"
10,30615,83.3246679,0,Instrumentaiton Engineering ,"Government College of Engineering, Amravati"
13,51690,70.9370842,0,Instrumentaiton Engineering ,"Government College of Engineering, Amravati"
3,42806,76.4889836,0,Mechanical Engineering ,"Government College of Engineering, Amravati"
4,109621,19.499854,0,Mechanical Engineering ,"Government College of Engineering, Amravati"
5,48115,72.8974176,0,Mechanical Engineering ,"Government College of Engineering, Amravati"
6,47757,73.2440997,0,Mechanical Engineering ,"Government College of Engineering, Amravati"
7,43267,75.8471965,0,Mechanical Engineering ,"Government College of Engineering, Amravati"
8,63985,62.3799839,0,Mechanical Engineering ,"Government College of Engineering, Amravati"
9,39664,78.2814198,0,Mechanical Engineering ,"Government College of Engineering, Amravati"
2,40195,78.0555027,1,Mechanical Engineering ,"Government College of Engineering, Amravati"
3,61058,64.4979119,1,Mechanical Engineering ,"Government College of Engineering, Amravati"
4,97556,33.083064,1,Mechanical Engineering ,"Government College of Engineering, Amravati"
6,81559,48.7700838,1,Mechanical Engineering ,"Government College of Engineering, Amravati"
2,34421,81.4005843,0,Mechanical Engineering ,"Government College of Engineering, Amravati"
7,54000,69.3871747,1,Mechanical Engineering ,"Government College of Engineering, Amravati"
9,42993,76.4889836,1,Mechanical Engineering ,"Government College of Engineering, Amravati"
11,64866,61.8814494,0,Mechanical Engineering ,"Government College of Engineering, Amravati"
10,21335,88.4908068,0,Mechanical Engineering ,"Government College of Engineering, Amravati"
13,49115,72.6414198,0,Mechanical Engineering ,"Government College of Engineering, Amravati"
2,56459,67.7143135,0,Food Technology,"Sant Gadge Baba Amravati University,Amravati"
3,89272,42.0206383,0,Food Technology,"Sant Gadge Baba Amravati University,Amravati"
5,64230,62.0823842,0,Food Technology,"Sant Gadge Baba Amravati University,Amravati"
6,100270,30.5619889,0,Food Technology,"Sant Gadge Baba Amravati University,Amravati"
9,56723,67.4824177,0,Food Technology,"Sant Gadge Baba Amravati University,Amravati"
2,24039,87.0274997,1,Food Technology,"Sant Gadge Baba Amravati University,Amravati"
9,46268,74.2260244,1,Food Technology,"Sant Gadge Baba Amravati University,Amravati"
2,41991,76.9900203,0,Food Technology,"Sant Gadge Baba Amravati University,Amravati"
3,46499,74.2012741,0,Food Technology,"Sant Gadge Baba Amravati University,Amravati"
9,57201,67.2875491,0,Food Technology,"Sant Gadge Baba Amravati University,Amravati"
10,34335,81.4109415,0,Food Technology,"Sant Gadge Baba Amravati University,Amravati"
13,107964,21.8821184,0,Food Technology,"Sant Gadge Baba Amravati University,Amravati"
2,77244,52.2301039,1,Oil and Paints Technology,"Sant Gadge Baba Amravati University,Amravati"
9,84752,45.9187639,1,Oil and Paints Technology,"Sant Gadge Baba Amravati University,Amravati"
2,113264,14.9316558,0,Oil and Paints Technology,"Sant Gadge Baba Amravati University,Amravati"
2,108178,21.5067519,0,Oil and Paints Technology,"Sant Gadge Baba Amravati University,Amravati"
10,48609,72.7702415,0,Oil and Paints Technology,"Sant Gadge Baba Amravati University,Amravati"
13,96766,34.1210946,0,Oil and Paints Technology,"Sant Gadge Baba Amravati University,Amravati"
2,110078,19.1072714,0,Petro Chemical Engineering,"Sant Gadge Baba Amravati University,Amravati"
2,89462,41.9139826,1,Petro Chemical Engineering,"Sant Gadge Baba Amravati University,Amravati"
2,67801,59.6829046,0,Petro Chemical Engineering,"Sant Gadge Baba Amravati University,Amravati"
3,76951,52.4476185,0,Petro Chemical Engineering,"Sant Gadge Baba Amravati University,Amravati"
9,103538,26.7890081,0,Petro Chemical Engineering,"Sant Gadge Baba Amravati University,Amravati"
2,47762,73.2440997,0,Petro Chemical Engineering,"Sant Gadge Baba Amravati University,Amravati"
3,110780,17.8380677,0,Petro Chemical Engineering,"Sant Gadge Baba Amravati University,Amravati"
9,77606,51.9313711,0,Petro Chemical Engineering,"Sant Gadge Baba Amravati University,Amravati"
13,115429,12.099832,0,Petro Chemical Engineering,"Sant Gadge Baba Amravati University,Amravati"
2,72032,56.7650587,0,Civil Engineering,"Government College of Engineering,Yavatmal"
3,107302,22.4871071,0,Civil Engineering,"Government College of Engineering,Yavatmal"
4,114482,12.9353233,0,Civil Engineering,"Government College of Engineering,Yavatmal"
5,85649,44.986801,0,Civil Engineering,"Government College of Engineering,Yavatmal"
6,82211,48.2193247,0,Civil Engineering,"Government College of Engineering,Yavatmal"
7,83614,46.4456321,0,Civil Engineering,"Government College of Engineering,Yavatmal"
9,85512,44.986801,0,Civil Engineering,"Government College of Engineering,Yavatmal"
2,68900,59.0639291,1,Civil Engineering,"Government College of Engineering,Yavatmal"
3,75744,53.8866742,1,Civil Engineering,"Government College of Engineering,Yavatmal"
9,80795,49.0525702,1,Civil Engineering,"Government College of Engineering,Yavatmal"
4,103344,26.9007793,0,Civil Engineering,"Government College of Engineering,Yavatmal"
8,79917,50.5614783,0,Civil Engineering,"Government College of Engineering,Yavatmal"
2,71840,56.7650587,0,Civil Engineering,"Government College of Engineering,Yavatmal"
3,79705,50.5614783,0,Civil Engineering,"Government College of Engineering,Yavatmal"
4,102216,28.4814025,0,Civil Engineering,"Government College of Engineering,Yavatmal"
5,75155,54.124615,0,Civil Engineering,"Government College of Engineering,Yavatmal"
6,91336,39.4227966,0,Civil Engineering,"Government College of Engineering,Yavatmal"
7,101205,29.3331437,0,Civil Engineering,"Government College of Engineering,Yavatmal"
9,74172,54.5241174,0,Civil Engineering,"Government College of Engineering,Yavatmal"
2,85052,45.6704109,1,Civil Engineering,"Government College of Engineering,Yavatmal"
3,109364,19.8474395,1,Civil Engineering,"Government College of Engineering,Yavatmal"
9,87000,43.3167495,1,Civil Engineering,"Government College of Engineering,Yavatmal"
10,56874,67.447284,0,Civil Engineering,"Government College of Engineering,Yavatmal"
13,97934,32.5908894,0,Civil Engineering,"Government College of Engineering,Yavatmal"
2,24879,86.5576404,0,Computer Engineering,"Government College of Engineering,Yavatmal"
3,32136,82.59776,0,Computer Engineering,"Government College of Engineering,Yavatmal"
4,79961,50.5614783,0,Computer Engineering,"Government College of Engineering,Yavatmal"
5,25236,86.402198,0,Computer Engineering,"Government College of Engineering,Yavatmal"
6,29891,83.8902317,0,Computer Engineering,"Government College of Engineering,Yavatmal"
7,29197,84.1949276,0,Computer Engineering,"Government College of Engineering,Yavatmal"
8,32709,82.3877908,0,Computer Engineering,"Government College of Engineering,Yavatmal"
9,26900,85.606492,0,Computer Engineering,"Government College of Engineering,Yavatmal"
2,19777,89.3887863,1,Computer Engineering,"Government College of Engineering,Yavatmal"
3,40577,77.8495773,1,Computer Engineering,"Government College of Engineering,Yavatmal"
4,47880,72.9031949,1,Computer Engineering,"Government College of Engineering,Yavatmal"
9,22081,88.0916175,1,Computer Engineering,"Government College of Engineering,Yavatmal"
14,118588,7.0709457,0,Computer Engineering,"Government College of Engineering,Yavatmal"
2,16974,90.8511759,0,Computer Engineering,"Government College of Engineering,Yavatmal"
3,20041,89.2369593,0,Computer Engineering,"Government College of Engineering,Yavatmal"
4,68909,59.0639291,0,Computer Engineering,"Government College of Engineering,Yavatmal"
5,17475,90.5561883,0,Computer Engineering,"Government College of Engineering,Yavatmal"
7,28088,84.8888044,0,Computer Engineering,"Government College of Engineering,Yavatmal"
9,17108,90.8078665,0,Computer Engineering,"Government College of Engineering,Yavatmal"
2,12513,93.1886737,1,Computer Engineering,"Government College of Engineering,Yavatmal"
3,21545,88.4671878,1,Computer Engineering,"Government College of Engineering,Yavatmal"
9,18498,90.0081429,1,Computer Engineering,"Government College of Engineering,Yavatmal"
11,48009,72.9031949,0,Computer Engineering,"Government College of Engineering,Yavatmal"
10,10149,94.4876909,0,Computer Engineering,"Government College of Engineering,Yavatmal"
12,74646,54.1664697,0,Computer Engineering,"Government College of Engineering,Yavatmal"
13,24163,87.0240046,0,Computer Engineering,"Government College of Engineering,Yavatmal"
2,59291,65.7244332,0,Electrical Engineering,"Government College of Engineering,Yavatmal"
3,89956,41.4815869,0,Electrical Engineering,"Government College of Engineering,Yavatmal"
4,95997,35.3945703,0,Electrical Engineering,"Government College of Engineering,Yavatmal"
5,67364,60.0860804,0,Electrical Engineering,"Government College of Engineering,Yavatmal"
6,84691,45.9187639,0,Electrical Engineering,"Government College of Engineering,Yavatmal"
7,64003,62.3799839,0,Electrical Engineering,"Government College of Engineering,Yavatmal"
8,72385,56.3628587,0,Electrical Engineering,"Government College of Engineering,Yavatmal"
9,66703,60.6284658,0,Electrical Engineering,"Government College of Engineering,Yavatmal"
2,50247,71.6451268,1,Electrical Engineering,"Government College of Engineering,Yavatmal"
3,87804,42.8034319,1,Electrical Engineering,"Government College of Engineering,Yavatmal"
9,55708,68.2985361,1,Electrical Engineering,"Government College of Engineering,Yavatmal"
4,114955,12.4299468,0,Electrical Engineering,"Government College of Engineering,Yavatmal"
2,44899,75.182198,0,Electrical Engineering,"Government College of Engineering,Yavatmal"
3,51672,70.9370842,0,Electrical Engineering,"Government College of Engineering,Yavatmal"
4,105465,24.8766135,0,Electrical Engineering,"Government College of Engineering,Yavatmal"
5,71131,57.0638559,0,Electrical Engineering,"Government College of Engineering,Yavatmal"
7,75707,53.8866742,0,Electrical Engineering,"Government College of Engineering,Yavatmal"
8,87356,43.3051128,0,Electrical Engineering,"Government College of Engineering,Yavatmal"
9,51215,71.1253958,0,Electrical Engineering,"Government College of Engineering,Yavatmal"
2,41803,77.0311313,1,Electrical Engineering,"Government College of Engineering,Yavatmal"
3,48397,72.8897104,1,Electrical Engineering,"Government College of Engineering,Yavatmal"
9,42271,76.6964455,1,Electrical Engineering,"Government College of Engineering,Yavatmal"
11,117538,8.6023034,0,Electrical Engineering,"Government College of Engineering,Yavatmal"
10,44044,75.6049358,0,Electrical Engineering,"Government College of Engineering,Yavatmal"
13,71061,57.2112851,0,Electrical Engineering,"Government College of Engineering,Yavatmal"
2,41714,77.0666918,0,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
3,63707,62.3954246,0,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
5,66207,60.7344231,0,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
6,51553,70.9370842,0,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
7,50917,71.2367422,0,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
8,68536,59.4192464,0,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
9,47845,73.2440997,0,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
2,39093,78.482599,1,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
3,53982,69.3871747,1,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
9,41348,77.0895594,1,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
4,93826,36.7166438,0,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
2,32850,82.3797757,0,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
3,39550,78.3496848,0,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
4,82212,48.2193247,0,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
5,62004,64.0075195,0,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
6,78475,51.2359011,0,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
7,44313,75.5619344,0,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
9,33370,81.8334533,0,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
2,25216,86.402198,1,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
3,36376,80.2788844,1,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
9,28138,84.8685155,1,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
11,101980,28.6995083,0,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
10,25137,86.402198,0,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
12,102806,28.1605922,0,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
13,44532,75.4846987,0,Electronics and Telecommunication Engg,"Government College of Engineering,Yavatmal"
2,70771,57.4413646,0,Mechanical Engineering,"Government College of Engineering,Yavatmal"
3,100838,29.3528763,0,Mechanical Engineering,"Government College of Engineering,Yavatmal"
4,120495,4.0235666,0,Mechanical Engineering,"Government College of Engineering,Yavatmal"
5,72461,56.3628587,0,Mechanical Engineering,"Government College of Engineering,Yavatmal"
6,92687,38.6417086,0,Mechanical Engineering,"Government College of Engineering,Yavatmal"
7,95363,35.6983743,0,Mechanical Engineering,"Government College of Engineering,Yavatmal"
8,108413,21.2317049,0,Mechanical Engineering,"Government College of Engineering,Yavatmal"
9,84149,46.1727561,0,Mechanical Engineering,"Government College of Engineering,Yavatmal"
2,96418,35.1475881,1,Mechanical Engineering,"Government College of Engineering,Yavatmal"
3,108877,20.3613489,1,Mechanical Engineering,"Government College of Engineering,Yavatmal"
9,102356,28.4814025,1,Mechanical Engineering,"Government College of Engineering,Yavatmal"
2,46795,74.1161376,0,Mechanical Engineering,"Government College of Engineering,Yavatmal"
3,52550,70.2135829,0,Mechanical Engineering,"Government College of Engineering,Yavatmal"
6,91577,39.4196471,0,Mechanical Engineering,"Government College of Engineering,Yavatmal"
7,105330,25.0367211,0,Mechanical Engineering,"Government College of Engineering,Yavatmal"
9,60490,64.886326,0,Mechanical Engineering,"Government College of Engineering,Yavatmal"
2,74869,54.1664697,1,Mechanical Engineering,"Government College of Engineering,Yavatmal"
3,75442,53.926243,1,Mechanical Engineering,"Government College of Engineering,Yavatmal"
9,87613,43.0138429,1,Mechanical Engineering,"Government College of Engineering,Yavatmal"
10,48386,72.8897104,0,Mechanical Engineering,"Government College of Engineering,Yavatmal"
13,59474,65.7244332,0,Mechanical Engineering,"Government College of Engineering,Yavatmal"
2,12653,93.1714502,0,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
3,24489,86.8703589,0,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
4,78818,51.1072039,0,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
5,17131,90.7746979,0,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
6,23940,87.0728364,0,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
7,14360,92.2448203,0,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
8,37293,79.5386869,0,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
9,13209,92.8629709,0,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
2,11883,93.5685145,1,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
3,24257,86.9511499,1,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
4,66270,60.7344231,1,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
9,14266,92.287017,1,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
14,80456,49.4442605,0,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
15,101332,29.2342823,0,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
2,13547,92.6330411,0,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
3,22196,88.0563059,0,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
4,56586,67.4824177,0,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
7,21003,88.664007,0,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
9,15100,91.8885683,0,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
2,10664,94.2133903,1,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
9,14680,92.1444652,1,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
11,32925,82.1909278,0,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
10,7999,95.6029376,0,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
13,15503,91.6047864,0,Computer Science and Engineering,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
2,17463,90.5879529,0,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
3,29839,83.9142978,0,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
4,90296,41.1873138,0,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
5,29028,84.2234647,0,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
6,23665,87.2542051,0,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
7,20024,89.2369593,0,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
9,18077,90.2973471,0,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
2,15723,91.5409302,1,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
3,29888,83.8902317,1,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
4,79743,50.5614783,1,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
9,16467,91.1038771,1,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
2,18651,89.9588516,0,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
3,24711,86.8132394,0,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
4,120788,3.3597312,0,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
5,42054,76.9900203,0,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
9,18791,89.9192371,0,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
2,16680,91.0449886,1,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
9,17345,90.6725437,1,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
11,39397,78.3496848,0,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
10,11297,93.8419335,0,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
13,19337,89.5401523,0,Information Technology,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
2,50928,71.2367422,0,Electrical Engg[Electronics and Power],"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
3,77561,51.9313711,0,Electrical Engg[Electronics and Power],"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
6,85885,44.9304271,0,Electrical Engg[Electronics and Power],"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
7,54512,69.1685966,0,Electrical Engg[Electronics and Power],"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
8,74419,54.1780657,0,Electrical Engg[Electronics and Power],"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
9,57119,67.2875491,0,Electrical Engg[Electronics and Power],"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
2,41887,77.0311313,1,Electrical Engg[Electronics and Power],"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
